units,amount,probability,type,stage,lead_source,lead_firstname,lead_lastname,lead,assignedTo,description,
49464,33401060.64,65.84,NEW,CLOSED WON,RECYCLED,Josselyn,Laughren,Josselyn Laughren,UBER,jhrishchenko2@lin.com,Devolved real-time application
45316,30600082.16,58.49,EXISTING,CLOSED WON,RECYCLED,Edwin,Wallage,Edwin Wallage,KROGER,tbeacock3@lin.com,Grass-roots radical implementation
29340,19812128.4,43.29,EXISTING,PERCEPTION ANALYSIS,RECYCLED,Anny,Reames,Anny Reames,THERMO FISHER SCIENTIFIC,sstockell4@lin.com,Decentralized composite paradigm
14470,9771012,68.77,EXISTING,PROSPECTING,ASSIGNED,Almira,Thorneywork,Almira Thorneywork,AIG,jhackly5@lin.com,Diverse leading edge extranet
40749,27516169.74,72.4,NEW,IDENTIFYING DECISION MAKERS,IN PROCESS,Doralynn,Ellsbury,Doralynn Ellsbury,NOVO NORDISK,lnorgan6@lin.com,Front-line empowering productivity
26271,17739755.46,51.26,NEW,CLOSED LOST,NEW,Raymond,Erik,Raymond Erik,H&R BLOCK,lcholwell7@lin.com,Assimilated demand-driven capability
47927,32363186.02,49.47,EXISTING,VALUE PROPOSITION,DEAD,Abeu,Gordon,Abeu Gordon,SOCIAL SECURITY ADMINISTRATION,broyan8@lin.com,Sharable didactic system engine
41681,28145512.06,43.52,EXISTING,CLOSED WON,CONVERTED,Lezlie,Burkwood,Lezlie Burkwood,COSTCO WHOLESALE,lknaggs9@lin.com,Exclusive bandwidth-monitored conglomeration
18986,12820486.36,80.69,EXISTING,PERCEPTION ANALYSIS,NEW,Carson,Bordone,Carson Bordone,THALES,abownasa@lin.com,Triple-buffered local task-force
43507,29378536.82,49.53,EXISTING,VALUE PROPOSITION,RECYCLED,Gwendolin,Rathmell,Gwendolin Rathmell,CONVERGYS,cboseleyb@lin.com,Seamless scalable installation
34680,23418016.8,57.6,NEW,PROSPECTING,DEAD,Agnesse,Spavon,Agnesse Spavon,IQVIA,lrainforthc@lin.com,Distributed motivating encoding
15602,10535406.52,53.17,EXISTING,CLOSED LOST,DEAD,Crosby,McCaskell,Crosby McCaskell,SALESFORCE,mommundsend@lin.com,Customer-focused leading edge infrastructure
43411,29313711.86,46.82,EXISTING,NEGOTIATION OR REVIEW,IN PROCESS,Gustave,Soldan,Gustave Soldan,THE DOW CHEMICAL COMPANY,lganforthe@lin.com,Reverse-engineered asymmetric database
31869,21519860.94,52.32,EXISTING,PERCEPTION ANALYSIS,CONVERTED,Matthiew,Mohamed,Matthiew Mohamed,HILTON WORLDWIDE,kmedleyf@lin.com,Future-proofed multi-tasking task-force
48407,32687310.82,65.51,EXISTING,PERCEPTION ANALYSIS,CONVERTED,Marthena,Greenroa,Marthena Greenroa,LOS ANGELES UNIFIED SCHOOL DISTRICT,equickendeng@lin.com,Universal impactful initiative
24909,16820051.34,39.38,EXISTING,PERCEPTION ANALYSIS,IN PROCESS,Joyous,Houselee,Joyous Houselee,ARMY NATIONAL GUARD,hhubbleh@lin.com,Networked leading edge adapter
45961,31035624.86,93.02,NEW,CLOSED LOST,ASSIGNED,Brittan,Hufton,Brittan Hufton,NORDSTROM,iairdriei@lin.com,Expanded demand-driven approach
34966,23611141.16,50.02,NEW,CLOSED WON,DEAD,Josefa,Featenby,Josefa Featenby,LIFESPAN,dghionj@lin.com,Total background analyzer
26836,18121277.36,95.64,EXISTING,CLOSED WON,ASSIGNED,Paulina,Kettlestring,Paulina Kettlestring,FEDEX,iepslyk@lin.com,Exclusive upward-trending ability
43146,29134767.96,84.65,NEW,PERCEPTION ANALYSIS,ASSIGNED,Chas,Whatsize,Chas Whatsize,EDWARD JONES,xcanbyl@lin.com,Managed content-based matrix
34518,23308624.68,53.69,EXISTING,CLOSED LOST,CONVERTED,Barde,Diglin,Barde Diglin,TRAVELERS,sclotworthym@lin.com,Robust 4th generation strategy
40572,27396648.72,81.19,EXISTING,CLOSED LOST,DEAD,Nadean,Dumbellow,Nadean Dumbellow,STATE STREET,bbassn@lin.com,Re-contextualized asynchronous task-force
21337,14408022.62,96.82,EXISTING,VALUE PROPOSITION,IN PROCESS,Hal,Caplis,Hal Caplis,THE WALT DISNEY COMPANY,sdowtyo@lin.com,Decentralized even-keeled internet solution
42915,28978782.9,61.52,EXISTING,NEGOTIATION OR REVIEW,NEW,Arty,Pairpoint,Arty Pairpoint,IBM,oderham0@lin.com,Exclusive zero tolerance function
33350,22519921,31.52,NEW,PROPOSAL OR PRICE QUOTE,NEW,Dinny,Bickmore,Dinny Bickmore,US ARMY,kvickress1@lin.com,Enterprise-wide fault-tolerant access
27261,18408262.86,41.89,NEW,CLOSED LOST,RECYCLED,Kariotta,Maddocks,Kariotta Maddocks,HEWLETT-PACKARD,jhrishchenko2@lin.com,Front-line stable system engine
23648,15968548.48,99.61,EXISTING,NEEDS ANALYSIS,RECYCLED,Domeniga,Harrowing,Domeniga Harrowing,COGNIZANT TECHNOLOGY SOLUTIONS,tbeacock3@lin.com,Exclusive neutral knowledge user
11127,7513618,53.69,NEW,PROSPECTING,IN PROCESS,Lynnell,Bach,Lynnell Bach,WALMART,sstockell4@lin.com,Optional disintermediate function
31056,20970874.56,71.28,NEW,CLOSED LOST,ASSIGNED,Nissie,Schellig,Nissie Schellig,MICROSOFT,jhackly5@lin.com,Grass-roots analyzing groupware
17217,11625951.42,89.2,EXISTING,CLOSED WON,ASSIGNED,Lara,Harkin,Lara Harkin,AT&T,lnorgan6@lin.com,Re-contextualized foreground flexibility
14068,9499557,43.3,NEW,IDENTIFYING DECISION MAKERS,ASSIGNED,Corry,Donnell,Corry Donnell,UNITED STATES AIR FORCE,lcholwell7@lin.com,Public-key methodical process improvement
18904,12765115.04,93.09,NEW,CLOSED WON,RECYCLED,Umberto,Matkovic,Umberto Matkovic,PWC,broyan8@lin.com,Seamless well-modulated archive
28716,19390766.16,39.68,EXISTING,PROSPECTING,ASSIGNED,Conchita,Obin,Conchita Obin,WELLS FARGO,lknaggs9@lin.com,Down-sized executive model
34505,23299846.3,37.55,EXISTING,IDENTIFYING DECISION MAKERS,RECYCLED,Josephine,Tansill,Josephine Tansill,DELOITTE,abownasa@lin.com,User-friendly responsive Graphic Interface
39606,26744347.56,82.31,NEW,IDENTIFYING DECISION MAKERS,IN PROCESS,Loraine,Strong,Loraine Strong,CITI,cboseleyb@lin.com,Horizontal dynamic adapter
37184,25108867.84,89.19,EXISTING,VALUE PROPOSITION,NEW,Allianora,Duchesne,Allianora Duchesne,BANK OF AMERICA,lrainforthc@lin.com,Customizable executive installation
13236,8937741,55.75,NEW,IDENTIFYING DECISION MAKERS,CONVERTED,Vitoria,Fellgate,Vitoria Fellgate,JPMORGAN CHASE & CO.,mommundsend@lin.com,Universal heuristic concept
17636,11908885.36,52.92,EXISTING,IDENTIFYING DECISION MAKERS,CONVERTED,Garwood,Burrells,Garwood Burrells,US NAVY,lganforthe@lin.com,Innovative transitional circuit
13945,9416500,83.24,EXISTING,IDENTIFYING DECISION MAKERS,ASSIGNED,Karlens,Brimacombe,Karlens Brimacombe,AMAZON,kmedleyf@lin.com,Reactive content-based parallelism
19320,13046023.2,33.89,NEW,IDENTIFYING DECISION MAKERS,ASSIGNED,Morty,Dodman,Morty Dodman,APPLE,equickendeng@lin.com,Pre-emptive executive benchmark
43726,29526418.76,70.35,EXISTING,VALUE PROPOSITION,IN PROCESS,Rudolph,Hinrichsen,Rudolph Hinrichsen,ORACLE,hhubbleh@lin.com,Optimized analyzing orchestration
45749,30892469.74,81.38,EXISTING,NEGOTIATION OR REVIEW,RECYCLED,Basilio,Roostan,Basilio Roostan,GOOGLE,iairdriei@lin.com,Assimilated full-range utilisation
22317,15069777.42,57.98,NEW,PROPOSAL OR PRICE QUOTE,NEW,Prinz,Lockhead,Prinz Lockhead,UNITED STATES POSTAL SERVICE,dghionj@lin.com,Exclusive 24 hour solution
16461,11115454.86,47.66,NEW,PROSPECTING,ASSIGNED,Boris,Timmis,Boris Timmis,BOEING,iepslyk@lin.com,Customer-focused regional middleware
33824,22839994.24,53.17,NEW,PROSPECTING,ASSIGNED,Sharia,Tolomei,Sharia Tolomei,KAISER PERMANENTE,xcanbyl@lin.com,Centralized non-volatile architecture
13715,9261190,33.83,EXISTING,CLOSED LOST,IN PROCESS,Nady,Mennithorp,Nady Mennithorp,FORD MOTOR COMPANY,sclotworthym@lin.com,Persevering grid-enabled artificial intelligence
21204,14318213.04,36.54,NEW,NEGOTIATION OR REVIEW,CONVERTED,Laurene,Dingwall,Laurene Dingwall,INTEL CORPORATION,bbassn@lin.com,Customizable value-added flexibility
43640,29468346.4,34.2,EXISTING,IDENTIFYING DECISION MAKERS,NEW,Giulia,Gaywood,Giulia Gaywood,DEPARTMENT OF VETERANS AFFAIRS,sdowtyo@lin.com,Operative optimal installation
43989,29704012.14,95.15,EXISTING,PERCEPTION ANALYSIS,IN PROCESS,Lee,Ybarra,Lee Ybarra,CISCO,oderham0@lin.com,Stand-alone zero administration analyzer
29008,19587942.08,37.17,EXISTING,NEEDS ANALYSIS,IN PROCESS,Darrin,Campo,Darrin Campo,GENERAL MOTORS,kvickress1@lin.com,Secured stable standardization
20670,13957624.2,33.03,EXISTING,PERCEPTION ANALYSIS,NEW,Row,Gadman,Row Gadman,PEPSICO,jhrishchenko2@lin.com,Enhanced zero defect leverage
47091,31798668.66,51,NEW,PROSPECTING,IN PROCESS,Sherlocke,Grimster,Sherlocke Grimster,TARGET,tbeacock3@lin.com,Ergonomic human-resource service-desk
23801,16071863.26,60.04,NEW,VALUE PROPOSITION,DEAD,Ulla,Stailey,Ulla Stailey,UPS,sstockell4@lin.com,Switchable 6th generation support
15979,10789979.54,93.65,NEW,VALUE PROPOSITION,DEAD,Aurel,Feaveryear,Aurel Feaveryear,PFIZER,jhackly5@lin.com,Multi-layered real-time firmware
35935,24265468.1,86.98,NEW,NEGOTIATION OR REVIEW,CONVERTED,Hyacinthie,Unwins,Hyacinthie Unwins,UNITEDHEALTH GROUP,lnorgan6@lin.com,Cross-group impactful implementation
43541,29401495.66,56.55,EXISTING,CLOSED WON,ASSIGNED,Benjy,Popworth,Benjy Popworth,DELL,lcholwell7@lin.com,Digitized client-driven adapter
13636,9207845,70.31,EXISTING,PROPOSAL OR PRICE QUOTE,ASSIGNED,Benson,Manilow,Benson Manilow,HONEYWELL,broyan8@lin.com,Future-proofed static complexity
19448,13132456.48,97.62,EXISTING,PERCEPTION ANALYSIS,NEW,Suzie,Churchard,Suzie Churchard,SCHLUMBERGER,lknaggs9@lin.com,Focused attitude-oriented archive
24205,16344668.3,79.16,EXISTING,IDENTIFYING DECISION MAKERS,CONVERTED,Kristine,Fishwick,Kristine Fishwick,LOCKHEED MARTIN,abownasa@lin.com,Organic heuristic orchestration
38743,26161598.18,49.9,EXISTING,PERCEPTION ANALYSIS,IN PROCESS,Cassondra,Pinyon,Cassondra Pinyon,STARBUCKS,cboseleyb@lin.com,Quality-focused executive project
36364,24555154.64,60.78,EXISTING,PROSPECTING,DEAD,Christal,Bowlesworth,Christal Bowlesworth,MORGAN STANLEY,lrainforthc@lin.com,User-friendly 3rd generation benchmark
28491,19238832.66,73.05,EXISTING,CLOSED WON,CONVERTED,Denna,Wedgwood,Denna Wedgwood,THE HOME DEPOT,mommundsend@lin.com,Innovative methodical access
13621,9197716,58.91,EXISTING,VALUE PROPOSITION,IN PROCESS,Ronnie,Shephard,Ronnie Shephard,JOHNSON & JOHNSON,lganforthe@lin.com,Future-proofed multimedia product
23487,15859831.62,53.49,NEW,NEEDS ANALYSIS,IN PROCESS,Terry,Semark,Terry Semark,SCHNEIDER ELECTRIC,kmedleyf@lin.com,Enhanced intangible infrastructure
22395,15122447.7,70.08,NEW,NEEDS ANALYSIS,NEW,Royal,Stutely,Royal Stutely,STATE FARM,equickendeng@lin.com,Optional transitional utilisation
28642,19340796.92,44.34,NEW,NEEDS ANALYSIS,CONVERTED,Etta,Udale,Etta Udale,PROCTER & GAMBLE,hhubbleh@lin.com,Enhanced clear-thinking artificial intelligence
46143,31158522.18,84.7,NEW,PROPOSAL OR PRICE QUOTE,CONVERTED,Quinlan,Rosendall,Quinlan Rosendall,WALGREENS,iairdriei@lin.com,Monitored fault-tolerant superstructure
34881,23553744.06,90.42,EXISTING,IDENTIFYING DECISION MAKERS,DEAD,Latrina,Higginbottam,Latrina Higginbottam,"LOWE'S COMPANIES, INC.",dghionj@lin.com,Synchronised stable matrix
16170,10918954.2,33.83,NEW,NEEDS ANALYSIS,IN PROCESS,Ruby,Juschka,Ruby Juschka,UNITED STATES MARINE CORPS,iepslyk@lin.com,Reactive scalable standardization
16515,11151918.9,73.49,NEW,IDENTIFYING DECISION MAKERS,NEW,Horace,Fouracre,Horace Fouracre,DELL EMC,xcanbyl@lin.com,Multi-channelled zero administration groupware
35177,23753621.02,37.41,EXISTING,PERCEPTION ANALYSIS,DEAD,Lucie,Oleszkiewicz,Lucie Oleszkiewicz,VERIZON WIRELESS,sclotworthym@lin.com,Managed radical functionalities
26595,17958539.7,58.31,EXISTING,CLOSED WON,NEW,Chadwick,Fleischmann,Chadwick Fleischmann,J.P. MORGAN,bbassn@lin.com,Streamlined global info-mediaries
35109,23707703.34,33.72,EXISTING,CLOSED LOST,IN PROCESS,Lethia,Martijn,Lethia Martijn,VERIZON,sdowtyo@lin.com,Face to face analyzing paradigm
31259,21107952.34,90.38,NEW,VALUE PROPOSITION,RECYCLED,Giulia,Bussens,Giulia Bussens,KPMG,oderham0@lin.com,Customer-focused radical moderator
34503,23298495.78,84.65,NEW,PROSPECTING,CONVERTED,Barbette,Scroggins,Barbette Scroggins,LINKEDIN,kvickress1@lin.com,Multi-channelled cohesive attitude
24222,16356147.72,63.94,NEW,PERCEPTION ANALYSIS,ASSIGNED,Tabbi,Cubbini,Tabbi Cubbini,FACEBOOK,jhrishchenko2@lin.com,Ergonomic actuating ability
27155,18336685.3,56.89,EXISTING,VALUE PROPOSITION,IN PROCESS,Boris,Marcq,Boris Marcq,ADP,tbeacock3@lin.com,Ameliorated mission-critical data-warehouse
36848,24881980.48,50.35,NEW,NEGOTIATION OR REVIEW,ASSIGNED,Rosamond,Dugood,Rosamond Dugood,MEDTRONIC,sstockell4@lin.com,Polarised responsive installation
10868,7338725,50.51,NEW,PROPOSAL OR PRICE QUOTE,ASSIGNED,Kathe,Jarrell,Kathe Jarrell,ABBOTT,jhackly5@lin.com,Visionary national approach
15176,10247745.76,51.91,EXISTING,VALUE PROPOSITION,CONVERTED,Mitch,Downton,Mitch Downton,CHEVRON,lnorgan6@lin.com,Persevering tertiary policy
38036,25684189.36,44.66,EXISTING,PROPOSAL OR PRICE QUOTE,IN PROCESS,Kelsey,Van Der Weedenburg,Kelsey Van Der Weedenburg,AMERICAN EXPRESS,lcholwell7@lin.com,Switchable attitude-oriented array
48651,32852074.26,50.55,EXISTING,NEEDS ANALYSIS,IN PROCESS,Demetris,Morten,Demetris Morten,SAMSUNG ELECTRONICS,broyan8@lin.com,Self-enabling background application
22266,15035339.16,90.55,NEW,NEGOTIATION OR REVIEW,DEAD,Traci,Negal,Traci Negal,MACY'S,lknaggs9@lin.com,Centralized even-keeled attitude
27832,18793836.32,50.36,EXISTING,VALUE PROPOSITION,CONVERTED,Gabby,Plank,Gabby Plank,CVS HEALTH,abownasa@lin.com,Intuitive intangible projection
22321,15072478.46,32.48,NEW,VALUE PROPOSITION,CONVERTED,Jada,O' Donohoe,Jada O' Donohoe,HALLIBURTON,cboseleyb@lin.com,Synergistic 6th generation solution
13087,8837127,94.64,EXISTING,PROSPECTING,DEAD,Ursulina,Abbes,Ursulina Abbes,CSC,lrainforthc@lin.com,Secured analyzing focus group
44565,30092961.9,45.8,EXISTING,VALUE PROPOSITION,IN PROCESS,Hamish,Branson,Hamish Branson,MERCK,mommundsend@lin.com,Cross-group global middleware
18377,12409253.02,71.21,NEW,NEGOTIATION OR REVIEW,ASSIGNED,Kim,Alelsandrovich,Kim Alelsandrovich,KPMG,lganforthe@lin.com,Re-engineered didactic superstructure
49251,33257230.26,92.82,NEW,VALUE PROPOSITION,NEW,Johnathan,York,Johnathan York,DXC TECHNOLOGY,kmedleyf@lin.com,Seamless full-range knowledge base
26494,17890338.44,62.4,NEW,PROPOSAL OR PRICE QUOTE,IN PROCESS,Heriberto,Songhurst,Heriberto Songhurst,JOHNSON CONTROLS,equickendeng@lin.com,Multi-layered motivating circuit
28276,19093651.76,77.67,EXISTING,PROPOSAL OR PRICE QUOTE,NEW,Ginger,Gerhts,Ginger Gerhts,ALLSTATE,hhubbleh@lin.com,Re-contextualized upward-trending Graphic Interface
42656,28803890.56,46.69,NEW,PROPOSAL OR PRICE QUOTE,CONVERTED,Kristine,Philippault,Kristine Philippault,MARRIOTT INTERNATIONAL,iairdriei@lin.com,Cross-group upward-trending utilisation
41673,28140109.98,37.91,NEW,IDENTIFYING DECISION MAKERS,CONVERTED,Donnie,Moysey,Donnie Moysey,3M HEALTH CARE,dghionj@lin.com,Centralized neutral paradigm
10431,7043637.06,89.86,EXISTING,PERCEPTION ANALYSIS,DEAD,Nadia,Le Barr,Nadia Le Barr,XEROX,iepslyk@lin.com,Organized multi-tasking array
25601,17287331.26,40.67,EXISTING,CLOSED WON,CONVERTED,Krystalle,Lacaze,Krystalle Lacaze,CBRE,xcanbyl@lin.com,Exclusive zero administration success
38019,25672709.94,78.63,EXISTING,PERCEPTION ANALYSIS,DEAD,Madelena,Ollier,Madelena Ollier,NYC DEPARTMENT OF EDUCATION,sclotworthym@lin.com,Persevering maximized infrastructure
32008,21613722.08,64.73,NEW,PROPOSAL OR PRICE QUOTE,CONVERTED,Becki,Dunnett,Becki Dunnett,GOLDMAN SACHS,bbassn@lin.com,Adaptive stable access
17482,11804895.32,72.67,EXISTING,NEEDS ANALYSIS,IN PROCESS,Lucien,Aizik,Lucien Aizik,FIDELITY INVESTMENTS,sdowtyo@lin.com,Universal impactful attitude
32321,21825078.46,66.03,EXISTING,CLOSED LOST,CONVERTED,Letizia,Wile,Letizia Wile,EXXONMOBIL,oderham0@lin.com,Decentralized contextually-based structure
40751,27517520.26,68.28,EXISTING,NEEDS ANALYSIS,IN PROCESS,Charity,Gable,Charity Gable,T-MOBILE,kvickress1@lin.com,Expanded bandwidth-monitored success
29606,19991747.56,88.58,NEW,PERCEPTION ANALYSIS,DEAD,Lillian,Littlewood,Lillian Littlewood,NIKE,jhrishchenko2@lin.com,Polarised zero defect moratorium
42122,28443301.72,73.99,NEW,PROPOSAL OR PRICE QUOTE,NEW,Leila,Neasam,Leila Neasam,BEST BUY,tbeacock3@lin.com,Cross-platform scalable secured line
22685,15318273.1,53.34,NEW,IDENTIFYING DECISION MAKERS,IN PROCESS,Taryn,Tantum,Taryn Tantum,AMERICAN AIRLINES,sstockell4@lin.com,Fundamental bifurcated customer loyalty
11019,7440689,64.02,NEW,CLOSED WON,NEW,Madelene,Doonican,Madelene Doonican,BAKER HUGHES,jhackly5@lin.com,Re-contextualized secondary complexity
18753,12663150.78,86.34,NEW,PROSPECTING,RECYCLED,Broddy,Ker,Broddy Ker,THE COCA-COLA COMPANY,lnorgan6@lin.com,Sharable fault-tolerant access
15414,10408457.64,34.4,EXISTING,CLOSED WON,NEW,Vaclav,Goude,Vaclav Goude,GENPACT,lcholwell7@lin.com,Business-focused bi-directional circuit
24736,16703231.36,58.76,NEW,PERCEPTION ANALYSIS,CONVERTED,Shelby,Cescon,Shelby Cescon,JLL,broyan8@lin.com,Operative interactive data-warehouse
14570,9838538,66.23,EXISTING,CLOSED WON,ASSIGNED,Nelson,Driscoll,Nelson Driscoll,U.S. BANK,lknaggs9@lin.com,Face to face scalable firmware
45146,30485287.96,62.49,EXISTING,PERCEPTION ANALYSIS,NEW,Darb,Antosch,Darb Antosch,PNC,abownasa@lin.com,Right-sized 24 hour ability
28142,19003166.92,62.22,EXISTING,IDENTIFYING DECISION MAKERS,DEAD,Lew,Vreiberg,Lew Vreiberg,SPRINT,cboseleyb@lin.com,Right-sized analyzing collaboration
39301,26538393.26,91.75,NEW,VALUE PROPOSITION,RECYCLED,Babara,Seilmann,Babara Seilmann,AIRBUS,lrainforthc@lin.com,Self-enabling client-server ability
13135,8869540,41.85,NEW,PERCEPTION ANALYSIS,CONVERTED,Valaria,Downham,Valaria Downham,DELTA AIR LINES,mommundsend@lin.com,Total stable policy
23540,15895620.4,88.77,EXISTING,PROSPECTING,NEW,Mandie,Fairlie,Mandie Fairlie,MERRILL LYNCH,lganforthe@lin.com,Enhanced local frame
46588,31459012.88,56.17,NEW,VALUE PROPOSITION,NEW,Lorrin,Gibbeson,Lorrin Gibbeson,MONDELēZ INTERNATIONAL,kmedleyf@lin.com,Triple-buffered radical project
24075,16256884.5,85.34,EXISTING,PERCEPTION ANALYSIS,RECYCLED,Humberto,Hatherill,Humberto Hatherill,FARMERS INSURANCE,equickendeng@lin.com,Stand-alone zero tolerance architecture
40358,27252143.08,51.7,NEW,VALUE PROPOSITION,CONVERTED,Rosabel,Keysall,Rosabel Keysall,AECOM,hhubbleh@lin.com,Distributed system-worthy intranet
36219,24457241.94,53.17,NEW,NEEDS ANALYSIS,RECYCLED,Ferdinande,Hucke,Ferdinande Hucke,UNITED STATES DEPARTMENT OF DEFENSE,iairdriei@lin.com,Reactive fresh-thinking encoding
49928,33714381.28,60.35,NEW,VALUE PROPOSITION,RECYCLED,Orazio,Mayne,Orazio Mayne,METLIFE,dghionj@lin.com,Cross-group context-sensitive orchestration
18979,12815759.54,79.67,NEW,PERCEPTION ANALYSIS,DEAD,Gerek,Hutchings,Gerek Hutchings,TOTAL,iepslyk@lin.com,De-engineered contextually-based workforce
39125,26419547.5,89.63,EXISTING,PROSPECTING,CONVERTED,Anders,Hawkswell,Anders Hawkswell,CARGILL,xcanbyl@lin.com,Reverse-engineered heuristic challenge
17554,11853514.04,35.66,NEW,CLOSED LOST,RECYCLED,Yule,Foli,Yule Foli,UNITED AIRLINES,sclotworthym@lin.com,Business-focused zero defect strategy
41677,28142811.02,36.59,NEW,IDENTIFYING DECISION MAKERS,DEAD,Winfield,Denyukin,Winfield Denyukin,MARY KAY INC.,bbassn@lin.com,Upgradable transitional algorithm
48601,32818311.26,63.73,EXISTING,PERCEPTION ANALYSIS,CONVERTED,Keeley,Poultney,Keeley Poultney,LIBERTY MUTUAL INSURANCE,sdowtyo@lin.com,Public-key fresh-thinking artificial intelligence
36644,24744227.44,37.83,NEW,PERCEPTION ANALYSIS,DEAD,Reilly,Belk,Reilly Belk,COMCAST,oderham0@lin.com,Exclusive non-volatile circuit
20963,14155475.38,69.27,NEW,CLOSED WON,CONVERTED,Essie,McHugh,Essie McHugh,CATERPILLAR INC.,kvickress1@lin.com,Public-key 24/7 interface
39260,26510707.6,56.17,NEW,VALUE PROPOSITION,ASSIGNED,Stillmann,Clemenza,Stillmann Clemenza,JACOBS,jhrishchenko2@lin.com,Profound disintermediate policy
45385,30646675.1,56.98,EXISTING,VALUE PROPOSITION,DEAD,Rudolph,Ninnotti,Rudolph Ninnotti,BNY MELLON,tbeacock3@lin.com,Reactive cohesive complexity
21748,14685554.48,74.26,NEW,PROSPECTING,NEW,Rudiger,Davidai,Rudiger Davidai,RAYTHEON,sstockell4@lin.com,Visionary actuating hardware
15271,10311895.46,99.17,EXISTING,IDENTIFYING DECISION MAKERS,IN PROCESS,Rowney,Radin,Rowney Radin,ELI LILLY AND COMPANY,jhackly5@lin.com,Ergonomic intermediate definition
43459,29346124.34,47.64,EXISTING,VALUE PROPOSITION,IN PROCESS,Trent,Geipel,Trent Geipel,HP,lnorgan6@lin.com,Upgradable zero administration access
30641,20690641.66,92.38,EXISTING,PERCEPTION ANALYSIS,CONVERTED,Ara,MacKenzie,Ara MacKenzie,UBER,lcholwell7@lin.com,Streamlined systematic architecture
34052,22993953.52,90.73,EXISTING,VALUE PROPOSITION,IN PROCESS,Jorry,Sidebottom,Jorry Sidebottom,KROGER,broyan8@lin.com,Monitored content-based secured line
12724,8592008,73.4,EXISTING,CLOSED LOST,NEW,Demetre,Copsey,Demetre Copsey,THERMO FISHER SCIENTIFIC,lknaggs9@lin.com,Inverse bandwidth-monitored knowledge base
36201,24445087.26,99.91,EXISTING,NEGOTIATION OR REVIEW,IN PROCESS,Mary,Bletsoe,Mary Bletsoe,AIG,abownasa@lin.com,Configurable optimal installation
33883,22879834.58,32.72,NEW,PROPOSAL OR PRICE QUOTE,NEW,Louis,Frusher,Louis Frusher,NOVO NORDISK,cboseleyb@lin.com,Progressive grid-enabled approach
38461,25971174.86,40.16,EXISTING,IDENTIFYING DECISION MAKERS,IN PROCESS,Ximenes,Staves,Ximenes Staves,H&R BLOCK,lrainforthc@lin.com,Fully-configurable multimedia database
39172,26451284.72,51.54,EXISTING,CLOSED LOST,CONVERTED,Alyson,Kersaw,Alyson Kersaw,SOCIAL SECURITY ADMINISTRATION,mommundsend@lin.com,Exclusive static portal
44524,30065276.24,76.94,NEW,VALUE PROPOSITION,NEW,Windham,Halvorsen,Windham Halvorsen,COSTCO WHOLESALE,lganforthe@lin.com,Sharable next generation throughput
12165,8214537.9,63.24,NEW,IDENTIFYING DECISION MAKERS,IN PROCESS,Marybelle,Moultrie,Marybelle Moultrie,THALES,kmedleyf@lin.com,Secured zero administration capability
21485,14507961.1,72.68,EXISTING,CLOSED WON,CONVERTED,Stacee,Diss,Stacee Diss,IQVIA,equickendeng@lin.com,Configurable executive migration
47843,32306464.18,75.32,EXISTING,IDENTIFYING DECISION MAKERS,RECYCLED,Edgar,Rubke,Edgar Rubke,SALESFORCE,hhubbleh@lin.com,User-centric interactive framework
46430,31352321.8,36.27,NEW,CLOSED WON,RECYCLED,Kalvin,Joao,Kalvin Joao,THE DOW CHEMICAL COMPANY,iairdriei@lin.com,Streamlined analyzing capacity
42020,28374425.2,46.73,EXISTING,NEGOTIATION OR REVIEW,ASSIGNED,Artie,Kirsche,Artie Kirsche,HILTON WORLDWIDE,dghionj@lin.com,Realigned foreground approach
12433,8395507,78.12,NEW,CLOSED LOST,IN PROCESS,Maribeth,MacGahey,Maribeth MacGahey,LOS ANGELES UNIFIED SCHOOL DISTRICT,iepslyk@lin.com,Distributed system-worthy knowledge user
33377,22538153.02,47.03,NEW,CLOSED WON,DEAD,Linell,Smeeton,Linell Smeeton,ARMY NATIONAL GUARD,xcanbyl@lin.com,Polarised object-oriented access
10518,7102384,55.85,NEW,PROSPECTING,RECYCLED,Josselyn,Laughren,Josselyn Laughren,NORDSTROM,sclotworthym@lin.com,Public-key object-oriented portal
11301,7631113,32.98,NEW,IDENTIFYING DECISION MAKERS,NEW,Abey,Tapson,Abey Tapson,LIFESPAN,bbassn@lin.com,Operative hybrid implementation
15788,10661004.88,65.3,NEW,VALUE PROPOSITION,IN PROCESS,Lotty,Regi,Lotty Regi,FEDEX,sdowtyo@lin.com,Organized 24 hour circuit
10831,7313741.06,87.36,EXISTING,IDENTIFYING DECISION MAKERS,CONVERTED,Franciskus,Wagge,Franciskus Wagge,IBM,oderham0@lin.com,Reverse-engineered secondary parallelism
48792,32947285.92,41.74,EXISTING,PROSPECTING,NEW,Arty,Pairpoint,Arty Pairpoint,US ARMY,kvickress1@lin.com,Optional object-oriented synergy
45298,30587927.48,79.25,NEW,PROPOSAL OR PRICE QUOTE,NEW,Dinny,Bickmore,Dinny Bickmore,HEWLETT-PACKARD,jhrishchenko2@lin.com,Progressive fresh-thinking collaboration
31946,21571855.96,57.18,NEW,CLOSED LOST,CONVERTED,Patric,Gleader,Patric Gleader,COGNIZANT TECHNOLOGY SOLUTIONS,tbeacock3@lin.com,Cloned tangible project
